locale,key,value
en_US,language,en
en_US,page_title,"NTT Com DD Sales Tool"
en_US,title,"NTT Com DD Sales Qualification Tool"
en_US,s1_question,"Are you facing any challenges in the following area of your IT infrastructure?"
en_US,s1_pill_label,"Choose as many as you like"
en_US,s1_button_label,"Next"
en_US,s1_warning,"No selection is made. Please select at least 1 challenge to proceed."
en_US,s2_instruction,"You may answer only questions that are relevant. Not all questions have to be answered."
en_US,s2_radio_yes,"Yes"
en_US,s2_radio_no,"No"
en_US,s2_button_next,"Get recommendation"
en_US,s2_button_back,"Back"
en_US,s2_warning,"No selection is made. Please answer at least 1 question to proceed."
en_US,s3_header,"The product recommendation as below:"
en_US,s3_button_label,"Start again"
ja_JP,language,ja
ja_JP,page_title,NTT Com DDセールスツール
ja_JP,title,NTT Com DD販促ツール
ja_JP,s1_question,ITインフラの次の領域で何か課題に直面していますか?
ja_JP,s1_pill_label,当てはまるものを選択して下さい。複数回答可
ja_JP,s1_button_label,次
ja_JP,s1_warning,選択されていません。続行するには、少なくとも 1 つの選択肢を選択してください。
ja_JP,s2_instruction,関連する質問にのみ回答してください。すべての質問に回答する必要はありません。
ja_JP,s2_radio_yes,はい
ja_JP,s2_radio_no,いいえ
ja_JP,s2_button_next,推奨を確認する
ja_JP,s2_button_back,戻る
ja_JP,s2_warning,選択されていません。続行するには、少なくとも 1 つの質問に回答してください。
ja_JP,s3_header,推奨製品は次のとおりです。
ja_JP,s3_button_label,もう一度やり直す